,Latitude,Longitude,datetime,pm_conc,Name,month,day,month_cat,threshold,Census_Tract,asthma_rate,Rate Lower Confidence Interval,Rate Upper Confidence Interval,year
74,37.63757,122.4327,2025-01-14 00:00:00+00:00,4.58,Brentwood Park,1,Tuesday,1,False,6081602400,8.8,7.7,9.9,2022
75,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.1,7.7,8.5,2018
76,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.2,7.8,8.5,2019
77,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.4,8.1,8.7,2020
78,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.3,7.3,9.4,2021
79,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
80,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.1,7.7,8.5,2018
81,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.2,7.8,8.5,2019
82,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.4,8.1,8.7,2020
83,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.3,7.3,9.4,2021
84,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.8,7.7,9.9,2022
85,37.63757,122.4327,2025-01-20 00:00:00+00:00,9.75,Brentwood Park,1,Monday,1,False,6081602400,8.1,7.7,8.5,2018
86,37.63757,122.4327,2025-01-20 00:00:00+00:00,9.75,Brentwood Park,1,Monday,1,False,6081602400,8.2,7.8,8.5,2019
87,37.63757,122.4327,2025-01-20 00:00:00+00:00,9.75,Brentwood Park,1,Monday,1,False,6081602400,8.4,8.1,8.7,2020
88,37.63757,122.4327,2025-01-20 00:00:00+00:00,9.75,Brentwood Park,1,Monday,1,False,6081602400,8.3,7.3,9.4,2021
89,37.63757,122.4327,2025-01-20 00:00:00+00:00,9.75,Brentwood Park,1,Monday,1,False,6081602400,8.8,7.7,9.9,2022
90,37.63757,122.4327,2024-12-25 00:00:00+00:00,4.93,Brentwood Park,12,Wednesday,12,False,6081602400,8.1,7.7,8.5,2018
91,37.63757,122.4327,2024-12-25 00:00:00+00:00,4.93,Brentwood Park,12,Wednesday,12,False,6081602400,8.2,7.8,8.5,2019
92,37.63757,122.4327,2024-12-25 00:00:00+00:00,4.93,Brentwood Park,12,Wednesday,12,False,6081602400,8.4,8.1,8.7,2020
93,37.63757,122.4327,2024-12-25 00:00:00+00:00,4.93,Brentwood Park,12,Wednesday,12,False,6081602400,8.3,7.3,9.4,2021
94,37.63757,122.4327,2024-12-25 00:00:00+00:00,4.93,Brentwood Park,12,Wednesday,12,False,6081602400,8.8,7.7,9.9,2022
95,37.63757,122.4327,2025-01-06 00:00:00+00:00,7.49,Brentwood Park,1,Monday,1,False,6081602400,8.1,7.7,8.5,2018
96,37.63757,122.4327,2025-01-06 00:00:00+00:00,7.49,Brentwood Park,1,Monday,1,False,6081602400,8.2,7.8,8.5,2019
97,37.63757,122.4327,2025-01-06 00:00:00+00:00,7.49,Brentwood Park,1,Monday,1,False,6081602400,8.4,8.1,8.7,2020
98,37.63757,122.4327,2025-01-06 00:00:00+00:00,7.49,Brentwood Park,1,Monday,1,False,6081602400,8.3,7.3,9.4,2021
99,37.63757,122.4327,2025-01-06 00:00:00+00:00,7.49,Brentwood Park,1,Monday,1,False,6081602400,8.8,7.7,9.9,2022
100,37.63757,122.4327,2024-11-18 00:00:00+00:00,3.61,Brentwood Park,11,Monday,11,False,6081602400,8.1,7.7,8.5,2018
101,37.63757,122.4327,2024-11-18 00:00:00+00:00,3.61,Brentwood Park,11,Monday,11,False,6081602400,8.2,7.8,8.5,2019
102,37.63757,122.4327,2024-11-18 00:00:00+00:00,3.61,Brentwood Park,11,Monday,11,False,6081602400,8.4,8.1,8.7,2020
103,37.63757,122.4327,2024-11-18 00:00:00+00:00,3.61,Brentwood Park,11,Monday,11,False,6081602400,8.3,7.3,9.4,2021
104,37.63757,122.4327,2024-11-18 00:00:00+00:00,3.61,Brentwood Park,11,Monday,11,False,6081602400,8.8,7.7,9.9,2022
105,37.63757,122.4327,2025-01-02 00:00:00+00:00,8.6,Brentwood Park,1,Thursday,1,False,6081602400,8.1,7.7,8.5,2018
106,37.63757,122.4327,2025-01-02 00:00:00+00:00,8.6,Brentwood Park,1,Thursday,1,False,6081602400,8.2,7.8,8.5,2019
107,37.63757,122.4327,2025-01-02 00:00:00+00:00,8.6,Brentwood Park,1,Thursday,1,False,6081602400,8.4,8.1,8.7,2020
108,37.63757,122.4327,2025-01-02 00:00:00+00:00,8.6,Brentwood Park,1,Thursday,1,False,6081602400,8.3,7.3,9.4,2021
109,37.63757,122.4327,2025-01-02 00:00:00+00:00,8.6,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
110,37.63757,122.4327,2025-01-15 00:00:00+00:00,8.52,Brentwood Park,1,Wednesday,1,False,6081602400,8.1,7.7,8.5,2018
111,37.63757,122.4327,2025-01-15 00:00:00+00:00,8.52,Brentwood Park,1,Wednesday,1,False,6081602400,8.2,7.8,8.5,2019
112,37.63757,122.4327,2025-01-15 00:00:00+00:00,8.52,Brentwood Park,1,Wednesday,1,False,6081602400,8.4,8.1,8.7,2020
113,37.63757,122.4327,2025-01-15 00:00:00+00:00,8.52,Brentwood Park,1,Wednesday,1,False,6081602400,8.3,7.3,9.4,2021
114,37.63757,122.4327,2025-01-15 00:00:00+00:00,8.52,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022
115,37.63757,122.4327,2025-01-12 00:00:00+00:00,4.38,Brentwood Park,1,Sunday,1,False,6081602400,8.1,7.7,8.5,2018
116,37.63757,122.4327,2025-01-12 00:00:00+00:00,4.38,Brentwood Park,1,Sunday,1,False,6081602400,8.2,7.8,8.5,2019
117,37.63757,122.4327,2025-01-12 00:00:00+00:00,4.38,Brentwood Park,1,Sunday,1,False,6081602400,8.4,8.1,8.7,2020
118,37.63757,122.4327,2025-01-12 00:00:00+00:00,4.38,Brentwood Park,1,Sunday,1,False,6081602400,8.3,7.3,9.4,2021
119,37.63757,122.4327,2025-01-12 00:00:00+00:00,4.38,Brentwood Park,1,Sunday,1,False,6081602400,8.8,7.7,9.9,2022
