Site_ID,Site_Name,year,season,avg_daily_min_pm25,avg_daily_max_pm25,avg_daily_mean_pm25,avg_daily_variance_pm25,p95_daily_max_pm25,median_daily_max_pm25,standard_deviation_of_daily_means,max_pm25,days_above_12,days_above_35,days_above_55,total_days,percent_days_moderate_or_worse,max_consecutive_days_above_35,max_consecutive_days_above_55,Census_Tract,Latitude,Longitude
60171,South San Francisco Westborough Park,2023,Winter,-0.4610076296296286,7.102920036124796,2.322460870204769,10.806307669287467,24.51670366666666,3.708440000000001,4.419236182489445,36.04420666666667,22,1,0,90,24.444444444444443,1,0,6081602601,37.64361,-122.45865
65711,Commodore Dr,2020,Fall,6.462017037037038,22.559197222019996,12.87898488774651,72.30670300026611,100.68764666666668,10.848206666666666,23.856592970692592,229.914168316953,36,11,6,81,44.44444444444444,4,4,6081604102,37.63386,-122.42311
65711,Commodore Dr,2020,Winter,2.7419514423433453,17.0344855483871,8.58210852794772,29.827122800618938,36.365210000000005,12.625546666666668,6.7238535248808695,42.98664000000001,18,2,0,31,58.064516129032256,1,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2021,Fall,2.728520757862827,12.441585916953612,6.490297955069659,14.845592120532986,34.22910333333334,8.966140000000001,5.515020453463547,45.74492000000001,30,5,0,91,32.967032967032964,1,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2021,Spring,2.414465474405655,6.92074291604198,4.06996805807389,2.4283009864523537,11.857952666666668,6.0251600000000005,1.7622176138493784,46.69344,5,1,0,92,5.434782608695652,1,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2021,Summer,2.3584934507746134,8.637454452773614,4.646958370157298,7.177847209346507,24.98555666666667,6.188650000000001,3.597045867961829,50.2490275862069,13,3,0,92,14.130434782608695,1,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2021,Winter,2.36080173282614,13.231694844395006,6.287901501015023,16.954890928223183,31.260869666666665,10.050766666666668,5.821858600371994,53.35444,39,2,0,90,43.333333333333336,1,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2022,Fall,2.55892109637489,9.330835399772642,5.389242970820332,6.546589995722963,20.087184712643676,7.935186666666667,3.586468728048673,39.291446666666666,25,1,0,91,27.47252747252747,1,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2022,Spring,1.808827295481724,6.0274994786477745,3.4662085540165326,1.857760032690454,11.994197000000002,5.255293333333334,1.650024566400824,17.96284,5,0,0,92,5.434782608695652,0,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2022,Summer,1.322748346719498,6.920885326449679,3.235188187555107,5.828327570841698,22.463359666666673,4.9068200000000015,2.585883420143122,45.1839,9,3,0,92,9.782608695652174,1,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2022,Winter,3.874360342273308,17.333595328224778,9.307018518186103,24.576470260619043,37.762820999999995,15.95317,7.779644838595177,47.65504666666667,54,6,0,90,60.0,2,0,6081604102,37.63386,-122.42311
65711,Commodore Dr,2023,Fall,2.839390607553367,13.497745216622459,6.663161350985723,25.776479925516444,37.31008333333334,9.002565517241381,7.813149662898377,111.47101333333336,31,5,4,91,34.065934065934066,4,2,6081604102,37.63386,-122.42311
65711,Commodore Dr,2023,Spring,0.792141969450058,7.568447308284467,2.5218716873106346,30.169507264388965,14.33432410344828,4.597433333333333,1.820063179666992,203.82552983343535,9,1,1,92,9.782608695652174,1,1,6081604102,37.63386,-122.42311
