datasourceId,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.value,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.value,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.value,Name
DCVIM2201,2024-12-18T00:00:00.000Z,2024-12-19T00:00:00.000Z,37.63757,-122.4327,31.14,12.05,92,56,24.91,24.91,86.72,86.72,9.55,9.55,Brentwood Park
DCVIM2201,2024-11-25T00:00:00.000Z,2024-11-26T00:00:00.000Z,37.63757,-122.4327,2.78,2.77,15,15,3.28,3.28,80.35,80.35,12.13,12.13,Brentwood Park
DCVIM2201,2025-02-08T00:00:00.000Z,2025-02-09T00:00:00.000Z,37.63757,-122.4327,2.82,3.23,16,18,2.91,2.91,73.79,73.79,9.47,9.47,Brentwood Park
DCVIM2201,2024-12-24T00:00:00.000Z,2024-12-25T00:00:00.000Z,37.63757,-122.4327,10.48,5.19,53,28,9.81,9.81,86.99,86.99,14.09,14.09,Brentwood Park
DCVIM2201,2024-12-27T00:00:00.000Z,2024-12-28T00:00:00.000Z,37.63757,-122.4327,8.97,5.28,49,29,7.48,7.48,86.76,86.76,14.65,14.65,Brentwood Park
DCVIM2201,2025-04-01T00:00:00.000Z,2025-04-02T00:00:00.000Z,37.63757,-122.4327,4.05,3.87,22,21,3.68,3.68,76.6,76.6,11.49,11.49,Brentwood Park
DCVIM2201,2025-01-25T00:00:00.000Z,2025-01-26T00:00:00.000Z,37.63757,-122.4327,12.88,8.06,58,44,11.39,11.39,70.17,70.17,11.55,11.55,Brentwood Park
DCVIM2201,2024-11-14T00:00:00.000Z,2024-11-15T00:00:00.000Z,37.63757,122.4327,5.39,4,29,22,4.88,4.88,80.45,80.45,12.9,12.9,Brentwood Park
DCVIM2201,2025-01-05T00:00:00.000Z,2025-01-06T00:00:00.000Z,37.63757,-122.4327,13.1,6.69,58,37,10.59,10.59,82.51,82.51,10.6,10.6,Brentwood Park
DCVIM2201,2024-11-17T00:00:00.000Z,2024-11-18T00:00:00.000Z,37.63757,122.4327,8.1,5.65,45,31,8.17,8.17,70.77,70.77,10.27,10.27,Brentwood Park
DCVIM2201,2024-11-19T00:00:00.000Z,2024-11-20T00:00:00.000Z,37.63757,-122.4327,5.31,4.82,29,27,4.87,4.87,68.05,68.05,9.59,9.59,Brentwood Park
DCVIM2201,2025-01-31T00:00:00.000Z,2025-02-01T00:00:00.000Z,37.63757,-122.4327,14.93,7.01,62,39,13.47,13.47,78.52,78.52,9.09,9.09,Brentwood Park
DCVIM2201,2025-01-11T00:00:00.000Z,2025-01-12T00:00:00.000Z,37.63757,-122.4327,8.74,5.67,48,31,7.94,7.94,62.16,62.16,13.52,13.52,Brentwood Park
DCVIM2201,2024-12-19T00:00:00.000Z,2024-12-20T00:00:00.000Z,37.63757,-122.4327,41.08,16.31,115,64,31.71,31.71,81.59,81.59,9.98,9.98,Brentwood Park
DCVIM2201,2025-03-24T00:00:00.000Z,2025-03-25T00:00:00.000Z,37.63757,-122.4327,5.89,4.27,32,23,6.09,6.09,75.48,75.48,14.78,14.78,Brentwood Park
DCVIM2201,2024-11-26T00:00:00.000Z,2024-11-27T00:00:00.000Z,37.63757,-122.4327,2.48,2.32,13,13,2.65,2.65,86.01,86.01,12.62,12.62,Brentwood Park
DCVIM2201,2025-02-09T00:00:00.000Z,2025-02-10T00:00:00.000Z,37.63757,-122.4327,3.4,3.46,19,19,3.41,3.41,70.88,70.88,8.6,8.6,Brentwood Park
DCVIM2201,2024-11-29T00:00:00.000Z,2024-11-30T00:00:00.000Z,37.63757,-122.4327,12.38,6.91,57,38,11.64,11.64,68.22,68.22,9.1,9.1,Brentwood Park
DCVIM2201,2025-02-12T00:00:00.000Z,2025-02-13T00:00:00.000Z,37.63757,-122.4327,5.08,4.42,28,24,6.77,6.77,74.08,74.08,8.67,8.67,Brentwood Park
DCVIM2201,2024-12-02T00:00:00.000Z,2024-12-03T00:00:00.000Z,37.63757,-122.4327,16.17,9.54,64,52,17.14,17.14,62.83,62.83,13.03,13.03,Brentwood Park
