GEOID,NAME,unw_centroid_long,unw_centroid_lat,Estimated Population,Percent Non-Hispanic,Percent Non-Hispanic White ,Percent Non-Hispanic Black ,Percent Non-Hispanic American Indian/Alaska Native ,Percent Non-Hispanic Asian ,Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ,Percent Non-Hispanic Other ,Percent Non-Hispanic Two or More Races,Percent Hispanic ,Estimate Educated,Median Income ,Population Below Poverty Level,Population Income to Poverty Level,Percent Below 100% FPL,Percent Between 100% and 199% FPL,"Unemployment Rate, 16 and Over",Percent Below 200% FPL,Percent High School or Less,Percent Some College or Greater,Labor Force Participation Rate ,Percent Non-White,Redlining (HOLC Grade),Asthma Prevalence,Smoking Prevalence,Obesity Prevalence,COPD Prevalence,Lack of Health Care Access Prevalence,"ICE, Nonwhite by Income ","ICE, Rent Versus Owned ",Particulate Matter ,Housing Stress,Percent Population Within Half a Mile to Parks,Percent Population With Access to Healthy Foods
6081604200,Census Tract 6042; San Mateo County; California,-122.40611738,37.62738314,3761,53.7091199149163,10.9013560223345,0.398830098378091,0.106354692900824,33.3156075511832,5.66338739696889,0,3.32358415315076,46.2908800850837,2618,44135,3761,644,0,17.0807453416149,4.8,17.0807453416149,50.916730328495,49.083269671505,81.1542991755006,89.0986439776655,NA,8.8,9.6,25.3,3.6,10.9,53.1926406926407,80.3030303030303,12.7243886930509,40.6193041020705,84.3333333333333,3.81028510524913
6081604400,Census Tract 6044; San Mateo County; California,-122.39012724,37.60493518,5289,76.2336925694838,27.8691624125544,0,0,38.7407827566648,5.16165626772547,1.60710909434676,2.85498203819248,23.7663074305162,3977,47039,5100,915,1.63934426229508,3.82513661202186,12.8,5.46448087431694,32.4365099321096,67.5634900678904,86.5940991120023,72.1308375874456,NA,8,8.7,19.9,3.7,6.4,52.020202020202,46.2519936204147,12.9008434710557,43.8437154138841,83.5,22.3522690226332
6081604500,Census Tract 6045; San Mateo County; California,-122.41020309,37.60628161,3515,85.3769559032717,40.2844950213371,0.199146514935989,0,42.9302987197724,0,0,1.96301564722617,14.6230440967283,2651,67319,3485,627,2.23285486443381,0,5,2.23285486443381,24.2172764994342,75.7827235005658,84.3310775637689,59.7155049786629,NA,7.9,8.3,18,5,4.8,64.0839694656488,82.9770992366412,12.7396131311639,39.608023555392,100,12.3343807200734
6081604600,Census Tract 6046; San Mateo County; California,-122.41819292,37.60025867,2585,93.9651837524178,30.3288201160542,0,0,55.705996131528,0.425531914893617,0.270793036750484,7.23404255319149,6.03481624758221,1870,78016,2585,476,2.52100840336134,1.26050420168067,5.4,3.78151260504202,20.1069518716578,79.8930481283422,86.3546473302571,69.6711798839458,NA,7.2,6.2,16,3.7,4.1,58.3720930232558,90.8139534883721,12.0929556830726,33.6000659957103,100,35.9170671827137
6081604700,Census Tract 6047; San Mateo County; California,-122.40667705,37.59365586,2891,91.8021445866482,28.8135593220339,0.415081286751989,0,56.1051539259772,0,0.553441715669319,5.91490833621584,8.19785541335178,2080,81738,2891,564,0,6.73758865248227,3.7,6.73758865248227,17.9807692307692,82.0192307692308,82.9457364341085,71.1864406779661,NA,7.6,6.7,17.2,3.9,3.9,62.1808510638298,82.0212765957447,12.2810641304669,31.0160427807487,100,30.3847536857246
6081604800,Census Tract 6048; San Mateo County; California,-122.39780297,37.59954757,5165,89.9903194578896,35.5082284607938,1.25847047434656,0,49.0609874152953,0,0,4.16263310745402,10.0096805421104,3995,70512,5161,916,10.9170305676856,2.18340611353712,2.9,13.1004366812227,22.2277847309136,77.7722152690864,80.1158301158301,64.4917715392062,NA,8.2,9.6,18.6,4.6,5,61.9464188080918,37.944231820667,13.1640647599145,43.5567010309278,100,NA
6081604900,Census Tract 6049; San Mateo County; California,-122.39815169,37.58925118,3144,98.6323155216285,27.5127226463104,0.413486005089058,0.254452926208651,59.4147582697201,0,6.87022900763359,4.16666666666667,1.3676844783715,2431,68000,3128,570,0,5.6140350877193,3.4,5.6140350877193,21.8017276840806,78.1982723159194,73.3258300506472,72.4872773536896,NA,7.4,7.8,17,4,4.2,59.295415959253,72.3259762308998,11.4989832585759,32.7930561091183,98.5,34.5900146772484
6081605000,Census Tract 6050; San Mateo County; California,-122.38984541,37.5815237,8159,92.5358499816154,44.1475671038117,0.625076602524819,0,43.3999264615762,0.0980512317685991,0.318666503247947,3.94656207868611,7.46415001838461,5624,96346,7869,2049,2.48901903367496,4.68521229868228,3.6,7.17423133235725,17.2297297297297,82.7702702702703,81.4159292035398,55.8524328961883,NA,7.7,6.3,17.5,3.4,3.9,64.1835310537334,60.711793440335,10.0953210496134,25.8748832073388,67.5,54.7850484732496
6081605100,Census Tract 6051; San Mateo County; California,-122.37109391,37.59417913,2955,83.4856175972927,50.2199661590525,5.82064297800338,0,20.7783417935702,0,2.30118443316413,4.36548223350254,16.5143824027073,2117,78162,2955,743,0,12.3822341857335,2.7,12.3822341857335,14.2182333490789,85.7817666509211,81.9042316258352,49.7800338409475,NA,8.8,7.1,21.3,3.2,4.9,64.1784820683903,42.4520433694746,12.2122518882262,38.6454183266932,79,38.8188453881885
6081605200,Census Tract 6052; San Mateo County; California,-122.37670963,37.58345487,3653,92.0613194634547,58.3629893238434,1.20448946071722,0,27.8675061593211,0,0,4.62633451957295,7.9386805365453,2609,107802,3653,888,0.788288288288288,0,4,0.788288288288288,9.62054426983519,90.3794557301648,79.6618357487923,41.6370106761566,NA,9,8,21.4,4.6,3.4,71.8907260963336,85.334291876348,10.7361032440504,27.6361616525551,62,48.19848609574
